Min,Max,Mean,Median,Std,Label
552.0,584.0,566.5714285714286,566.0,9.02151623076968,0
512.0,2700.0,775.2124756335282,544.0,465.3027056396166,0
308.0,1620.0,1267.59375,1378.0,261.55249943546227,0
556.0,908.0,721.3731343283582,720.0,36.31077954370449,0
400.0,696.0,628.3636363636364,624.0,27.09622540009408,0
308.0,4884.0,1456.2857142857142,844.0,1474.175771094354,1
540.0,2656.0,912.9230769230768,640.0,495.5676043620049,0
416.0,980.0,609.5238095238095,604.0,37.3535593236513,0
552.0,584.0,566.5714285714286,566.0,9.02151623076968,0
324.0,13616.0,2062.775510204081,1156.0,2076.5193070611044,1
592.0,680.0,641.65625,640.0,16.908040570613142,0
444.0,836.0,628.375,640.0,101.64575433829,0
424.0,1608.0,1241.2448979591836,1380.0,313.1436412015891,0
404.0,6756.0,1209.9061976549417,1348.0,469.7095698177114,0
564.0,564.0,564.0,564.0,0.0,0
316.0,3024.0,1139.0,608.0,1108.3262155159914,1
312.0,2872.0,678.7330016583747,608.0,245.8122354156619,0
528.0,528.0,528.0,528.0,0.0,0
540.0,1596.0,1032.2666666666669,572.0,511.3964498203805,0
396.0,924.0,675.3888888888889,680.0,123.60449420492088,0
756.0,1800.0,1066.25,920.0,342.4761853034456,0
320.0,3140.0,1288.0,846.0,1097.8415186173277,1
348.0,1680.0,638.3589743589744,568.0,231.69691599371652,0
560.0,3028.0,980.3,968.0,195.41488343180689,0
812.0,1484.0,1013.8461538461538,956.0,164.6674252751453,0
388.0,640.0,517.8168083097262,532.0,40.254624668328425,0
452.0,1440.0,705.2307692307693,604.0,214.64179600375127,0
560.0,1672.0,786.4,568.0,442.8099366545425,0
400.0,980.0,678.8372093023256,672.0,56.5681027026256,0
400.0,1068.0,657.560975609756,684.0,148.64166254099362,0
384.0,884.0,647.0407239819004,648.0,66.88534910776578,0
336.0,1136.0,477.45454545454544,456.0,125.14357594599478,0
456.0,1252.0,1004.6711409395972,1072.0,185.12344667663388,0
788.0,2156.0,1444.0,1388.0,559.8857026215261,1
824.0,1396.0,1269.076923076923,1318.0,133.32000919618557,0
560.0,1704.0,850.0,566.0,436.8966315579312,0
812.0,1484.0,1013.8461538461538,956.0,164.6674252751453,0
980.0,1524.0,1252.0,1252.0,272.0,1
544.0,544.0,544.0,544.0,0.0,0
828.0,916.0,864.125,864.0,18.434145175009697,0
524.0,2484.0,1005.4545454545456,544.0,714.1301592129552,0
680.0,984.0,863.1801242236024,860.0,45.03496063601781,0
336.0,704.0,524.3333333333334,526.0,112.1838768371918,0
548.0,1024.0,898.75,898.0,63.82348705609871,0
464.0,19060.0,3452.3809523809523,964.0,4883.632356938064,1
576.0,952.0,704.0,644.0,151.8947003683802,0
580.0,580.0,580.0,580.0,0.0,0
348.0,1584.0,751.6564417177914,752.0,88.60572211909682,0
360.0,1180.0,676.1012658227849,708.0,181.1512826716597,0
572.0,1180.0,602.9906542056075,600.0,44.97507000552552,0
