Min,Max,Mean,Median,Std,Label
548.0,548.0,548.0,548.0,0.0,0
500.0,500.0,500.0,500.0,0.0,1
480.0,1296.0,1108.5333333333333,1164.0,187.3010173787401,0
456.0,708.0,580.1818181818181,580.0,24.838209257481857,0
564.0,564.0,564.0,564.0,0.0,0
564.0,568.0,566.0,566.0,2.0,0
1092.0,1168.0,1135.2,1136.0,24.579666393179547,0
548.0,576.0,561.5,562.0,8.231038816577165,0
420.0,784.0,598.5882352941177,596.0,63.080768788938045,0
560.0,1012.0,806.5985037406484,808.0,62.26714946902673,0
388.0,2496.0,716.3636363636364,588.0,405.0542663368526,0
1548.0,1548.0,1548.0,1548.0,0.0,0
1020.0,1104.0,1065.5593220338983,1068.0,23.97758217581558,0
488.0,59480.0,14844.8,1348.0,22688.60159992237,1
548.0,584.0,565.3333333333334,564.0,10.599790354320954,0
488.0,59480.0,14844.8,1348.0,22688.60159992237,1
548.0,592.0,573.0666666666667,572.0,10.00977300219918,0
672.0,2220.0,1052.909090909091,976.0,207.06619694521692,0
400.0,1616.0,830.0,652.0,465.3471822198992,0
396.0,9636.0,4268.0,2000.0,4057.445896127266,1
304.0,27416.0,958.0680272108845,588.0,2322.0577481726177,1
304.0,1448.0,863.2248062015503,872.0,103.4973871752047,0
592.0,656.0,626.5573770491803,628.0,13.257258562596524,0
388.0,948.0,640.7164179104477,644.0,111.90385078273424,0
740.0,1384.0,1243.111111111111,1312.0,167.67140115545078,0
440.0,440.0,440.0,440.0,0.0,0
516.0,2180.0,830.2666666666667,534.0,527.2526866271576,0
1548.0,1548.0,1548.0,1548.0,0.0,0
952.0,952.0,952.0,952.0,0.0,1
364.0,1816.0,588.96,576.0,139.14955407761823,0
324.0,2804.0,1003.1612903225806,556.0,634.257355763629,0
532.0,1160.0,968.0,1040.0,215.59002487019063,0
528.0,2140.0,1064.3076923076924,564.0,575.4644124016953,0
348.0,784.0,562.6666666666666,560.0,68.02053844827789,0
472.0,472.0,472.0,472.0,0.0,0
788.0,2156.0,1444.0,1388.0,559.8857026215261,1
304.0,2172.0,811.265306122449,968.0,445.61953093121406,0
540.0,2656.0,912.9230769230768,640.0,495.5676043620049,0
460.0,460.0,460.0,460.0,0.0,0
312.0,1248.0,605.5655172413793,604.0,78.883616916543,0
332.0,980.0,628.1320754716982,612.0,110.79839548866325,0
440.0,1112.0,604.5263157894736,564.0,136.63989107795354,0
1160.0,1160.0,1160.0,1160.0,0.0,0
768.0,2336.0,1125.3333333333333,784.0,567.392476353205,0
416.0,688.0,614.3064516129032,612.0,24.479806496756183,0
368.0,2800.0,699.0901389025712,704.0,74.3926675858136,0
2104.0,2104.0,2104.0,2104.0,0.0,0
404.0,6756.0,1209.9061976549417,1348.0,469.7095698177114,0
504.0,1488.0,766.2222222222222,692.0,274.71916075139467,0
360.0,500.0,430.0,430.0,70.0,0
376.0,936.0,672.6666666666666,622.0,207.4212032448842,0
548.0,1584.0,1089.3333333333333,1136.0,424.23054528823775,0
1996.0,1996.0,1996.0,1996.0,0.0,0
424.0,1608.0,1241.2448979591836,1380.0,313.1436412015891,0
868.0,1156.0,928.950495049505,924.0,38.31768617769543,0
304.0,1368.0,618.3124231242313,604.0,142.98592574976445,0
580.0,580.0,580.0,580.0,0.0,0
540.0,3092.0,2011.0,2206.0,986.980749558977,0
308.0,10240.0,2877.6666666666665,1860.0,2785.0584474218053,1
324.0,31392.0,2085.333333333333,1094.0,3585.826030004846,1
316.0,1708.0,589.9,564.0,160.6281108648172,0
492.0,492.0,492.0,492.0,0.0,0
404.0,6756.0,1209.9061976549417,1348.0,469.7095698177114,0
492.0,492.0,492.0,492.0,0.0,0
628.0,4688.0,2008.0,1634.0,1441.573214697517,0
680.0,764.0,722.0,722.0,42.0,1
400.0,924.0,643.2413793103449,642.0,40.876310627444056,0
352.0,11996.0,2136.0,1616.0,2241.963710678654,1
368.0,18284.0,820.5217391304348,568.0,1145.490300344589,0
588.0,700.0,618.96,616.0,18.54683441093565,0
476.0,476.0,476.0,476.0,0.0,0
552.0,1540.0,1044.8695652173913,972.0,311.5022931519789,0
556.0,1680.0,938.6666666666666,580.0,524.2933869080895,0
304.0,2724.0,584.1102728351127,592.0,107.05402140164948,0
500.0,1652.0,1078.5411764705882,1016.0,274.8212489832865,0
1452.0,1556.0,1504.0,1504.0,52.0,0
1924.0,15912.0,7071.2,4048.0,5401.666350303394,1
320.0,3140.0,1288.0,846.0,1097.8415186173277,1
512.0,1824.0,1168.0,1168.0,656.0,1
448.0,484.0,470.6666666666667,480.0,16.110727964792762,1
368.0,1472.0,860.0,740.0,458.624029025955,1
416.0,2108.0,710.7914893617021,600.0,292.775484258652,0
488.0,2108.0,898.5882352941177,536.0,537.7984598258008,0
572.0,612.0,589.7435897435897,592.0,10.279972934010932,0
324.0,31392.0,2085.333333333333,1094.0,3585.826030004846,1
484.0,10180.0,1343.7735849056603,836.0,1440.7663401292427,1
404.0,1016.0,674.5098039215686,672.0,93.02906409627164,0
324.0,1012.0,574.6845637583892,540.0,137.9438212295633,0
548.0,548.0,548.0,548.0,0.0,0
812.0,1484.0,1013.8461538461538,956.0,164.6674252751453,0
512.0,512.0,512.0,512.0,0.0,0
524.0,1240.0,1050.468085106383,1060.0,88.9161333430194,0
488.0,1960.0,1300.0,1288.0,534.3157618237865,1
1220.0,1388.0,1314.6666666666667,1336.0,70.22503510540636,0
468.0,8360.0,1924.0,1332.0,1899.907165651848,1
508.0,508.0,508.0,508.0,0.0,0
